# Gene set generated on 2025-07-31T18:07:40 using cellxgene version 1.2.0
# Input data file was cellxgene_data/kirsten/qc_KNK_URT007_scRNA.TCR_jul25.h5ad, which was last modified on 2025-07-29T16:31:39
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (7/31/2025, 2:07:39 PM)",,Vim,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Lgals1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ifngr1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Lgals3,
"Pop1 high (7/31/2025, 2:07:39 PM)",,S100a6,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ctla2a,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Rgs2,
"Pop1 high (7/31/2025, 2:07:39 PM)",,S100a4,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Itgae,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Pdcd1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ier5l,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Vps37b,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Nr4a1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ahnak,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Crip1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Rgcc,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Dusp5,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Litaf,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Skil,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Dennd4a,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Capg,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Anxa2,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Klrc1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ldlrad4,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Tsc22d3,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Klf6,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Lmna,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Fth1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Itgb1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Tnfaip3,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Gna13,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Atp2b1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Csrnp1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Pmepa1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Reep5,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Actg1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ubc,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Qpct,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Cdh1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Srgn,
